teams,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
49ers,-3.5,-7.5,1.0,-0.5,-3.5,-5.5,-0.5,4.0,999,-3.5,-2.5,-4.0,-4.0,-0.5,-3.5,-5.5,-0.5,-4.5
Bears,3.5,9.5,-4.0,3.0,7.0,0.5,6.0,8.0,2.0,-2.0,0.5,1.0,5.5,999,2.0,6.5,2.0,2.5
Bengals,-5.0,2.0,-3.5,-3.5,1.5,0.5,-9.5,-3.5,-8.0,999,-2.0,0.5,0,-3.5,4.0,0.5,0.5,-2.5
Bills,1.0,-6.0,-2.0,-1.0,-8.0,1.0,999,-4.0,-7.5,-6.0,-10.5,-6.5,-2.5,-11.5,-6.5,-6.5,-0.5,-6.5
Broncos,-2.0,-8.5,-1.0,1.0,-1.5,3.0,-8.0,-5.5,999,1.0,-3.5,-2.5,3.0,1.0,-3.0,4.5,5.0,-1.0
Browns,2.0,-2.0,0.5,0.5,3.0,2.0,7.5,3.5,999,5.5,10.5,2.0,-4.0,3.5,-1.0,-2.0,0,0
Buccaneers,0,-1.5,-2.0,-2.5,-11.5,-3.0,-6.0,-4.5,-3.0,-7.5,999,-2.0,-5.5,0.5,-4.0,-2.0,-10.0,-7.5
Cardinals,2.0,2.0,1.5,-1.5,-1.0,-1.0,-1.5,4.5,-5.0,5.5,2.5,0,999,-2.5,3.0,2.0,-3.0,4.5
Chargers,-4.0,4.0,-8.5,-5.0,-3.0,-3.0,-7.0,999,-6.0,3.5,0,0,0,-3.5,-3.5,2.0,-0.5,1.0
Chiefs,-2.0,-4.0,-0.5,2.5,-6.5,-1.0,0.5,999,-6.0,-10.5,0,-2.5,0,-1.0,-7.5,-9.5,-5.0,-2.0
Commanders,-5.5,-0.5,0.5,5.5,-0.5,-0.5,3.0,4.5,0,4.0,-2.5,-6.5,0.5,999,-4.5,5.5,0,1.0
Colts,-5.0,-3.5,0.5,-2.5,1.5,-8.0,2.5,-4.5,1.0,0.5,-2.5,-4.5,3.0,999,0.5,-2.0,-2.0,-9.0
Cowboys,0,-2.0,-2.5,-5.5,3.5,1.0,-7.0,-8.0,999,3.0,1.0,-7.0,-3.0,-9.5,-4.5,-3.0,0.5,-1.0
Dolphins,-2.5,3.0,2.0,3.5,-2.5,-1.5,-4.0,-2.0,-2.0,-5.5,999,-9.5,4.0,3.5,6.5,1.0,2.0,-7.5
Eagles,-2.5,-2.5,-0.5,-7.5,1.0,-1.0,999,-5.5,-4.5,-4.0,2.5,0.5,-2.5,-2.0,-2.0,3.0,-2.5,-6.0
Falcons,4.0,11.0,4.5,-0.5,11.5,5.5,9.5,-0.5,6.0,3.5,-0.5,6.5,2.5,999,8.0,9.0,3.0,7.5
Giants,5.5,-3.0,2.5,-3.0,6.5,2.5,0.5,2.0,999,-6.0,-3.0,7.0,-0.5,2.0,4.5,6.0,2.0,6.0
Jaguars,5.5,3.5,8.5,7.5,-3.5,8.0,-0.5,5.5,2.0,10.5,999,3.0,3.0,7.0,4.5,1.5,1.0,3.0
Jets,3.5,2.0,3.5,4.5,2.5,10.5,8.0,3.5,7.5,999,7.0,-1.0,8.0,11.5,-1.0,-1.5,4.0,7.5
Lions,2.5,0.5,6.5,-2.0,6.0,999,7.0,2.0,5.5,2.0,3.0,6.5,-3.0,2.5,1.0,2.0,-2.0,9.5
Packers,-1.0,-9.5,2.0,-5.5,-6.5,-10.5,-3.0,4.0,-5.5,-3.0,-5.5,-0.5,-5.5,999,-4.0,-1.0,-5.0,-9.5
Panthers,-2.0,3.0,2.5,1.5,3.5,9.5,6.0,0.5,8.0,-3.5,8.5,2.5,999,2.0,0.5,-2.0,10.0,6.5
Patriots,2.5,0.5,-1.0,5.5,-6.0,-2.0,-6.0,-3.5,-1.0,999,-7.0,2.5,2.5,2.5,1.5,-0.5,-2.0,6.5
Raiders,4.0,-2.0,3.0,-1.0,6.5,999,-7.5,3.0,-2.0,-0.5,3.5,0,0,5.5,-1.5,1.5,0.5,2.0
Rams,-1.0,-11.0,-1.5,0.5,-3.5,-9.5,999,-4.0,3.0,-5.5,-0.5,2.5,-8.5,-5.5,4.0,-4.5,0.5,-4.5
Ravens,-3.5,-3.0,1.0,1.0,-1.5,-2.5,-7.5,4.5,1.0,999,-8.5,-3.0,-3.0,-0.5,1.0,-9.0,-4.5,2.5
Saints,-4.0,1.5,-2.5,0.5,-6.0,-0.5,1.5,-3.0,-1.0,1.5,0.5,4.0,5.5,999,-8.0,2.0,2.5,-6.5
Seahawks,2.0,7.5,-4.5,2.0,6.0,1.0,7.0,-2.0,5.0,7.5,999,0,8.5,-2.0,3.5,9.5,-4.0,4.5
Steelers,5.0,-0.5,-0.5,-4.5,8.0,3.0,4.0,5.5,999,-1.5,2.0,4.5,-2.5,0.5,-0.5,-1.5,4.5,0
Texans,5.0,8.5,4.0,5.0,3.5,999,7.5,4.5,4.5,6.0,2.5,9.5,4.0,9.5,7.5,8.5,-1.0,9.0
Titans,-5.5,6.0,-3.0,2.5,0.5,999,-2.5,-4.5,6.0,-1.0,5.5,-0.5,2.5,-7.0,3.5,-8.5,-0.5,-3.0
Vikings,1.0,2.5,-6.5,-0.5,-7.0,1.5,999,-4.5,0,6.0,-1.0,-2.5,-8.0,-2.5,-0.5,-6.0,5.0,-2.5
